TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
01:20:48,0.150,0.162,0.194,4.235,8.440,12.646,32.722
01:20:49,0.150,0.163,0.195,4.241,8.431,12.632,32.661
01:20:50,0.150,0.169,0.206,4.235,8.440,12.632,32.559
01:20:51,0.150,0.165,0.196,4.232,8.440,12.639,32.844
01:20:52,0.150,0.166,0.189,4.238,8.449,12.646,32.763
01:20:53,0.150,0.163,0.184,4.237,8.440,12.646,32.661
01:20:54,0.150,0.162,0.194,4.235,8.440,12.639,32.735
01:20:55,0.150,0.166,0.188,4.238,8.449,12.618,32.681
01:20:56,0.150,0.166,0.194,4.235,8.449,12.646,32.688
01:20:57,0.150,0.164,0.185,4.237,8.440,12.652,32.749
01:20:58,0.150,0.165,0.188,4.235,8.449,12.646,32.763
01:20:59,0.150,0.165,0.191,4.241,8.427,12.625,32.661
01:21:00,0.150,0.164,0.184,4.236,8.436,12.632,32.722
01:21:01,0.148,0.164,0.185,4.236,8.449,12.652,32.627
01:21:02,0.150,0.164,0.195,4.235,8.440,12.646,32.722
01:21:03,0.149,0.160,0.179,4.235,8.440,12.646,32.661
01:21:04,0.149,0.162,0.201,4.232,8.449,12.639,32.661
01:21:05,0.150,0.165,0.175,4.237,8.445,12.646,32.722
01:21:06,0.149,0.164,0.185,4.237,8.445,12.646,33.232
01:21:07,0.149,0.163,0.185,4.235,8.449,12.646,32.620
01:21:08,0.149,0.163,0.198,4.230,8.440,12.646,32.620
01:21:09,0.150,0.165,0.190,4.232,8.431,12.652,32.667
01:21:10,0.150,0.162,0.187,4.233,8.440,12.646,32.674
01:21:11,0.150,0.176,0.205,4.237,8.436,12.625,32.633
01:21:12,0.150,0.164,0.185,4.236,8.449,12.659,32.681
01:21:13,0.150,0.161,0.194,4.232,8.440,12.639,32.606
01:21:14,0.148,0.164,0.185,4.235,8.449,12.646,32.613
01:21:15,0.150,0.160,0.198,4.231,8.436,12.625,32.627
01:21:16,0.150,0.165,0.192,4.238,8.436,12.652,32.708
01:21:17,0.149,0.161,0.195,4.231,8.436,12.625,32.545
01:21:18,0.149,0.156,0.192,4.232,8.440,12.639,32.640
01:21:19,0.148,0.161,0.186,4.235,8.440,12.639,32.606
01:21:20,0.148,0.160,0.170,4.233,8.449,12.646,32.593
01:21:21,0.149,0.178,0.188,4.262,8.440,12.646,32.606
01:21:22,0.148,0.165,0.191,4.229,8.449,12.646,32.504
01:21:23,0.148,0.162,0.186,4.235,8.440,12.646,32.545
01:21:24,0.149,0.153,0.210,4.237,8.436,12.652,32.790
01:21:25,0.148,0.097,0.232,4.233,8.449,12.646,32.674
01:21:26,0.148,0.163,0.182,4.238,8.449,12.659,32.613
01:21:27,0.148,0.164,0.186,4.239,8.427,12.646,32.579
01:21:28,0.148,0.163,0.185,4.238,8.449,12.659,32.735
01:21:29,0.148,0.153,0.176,4.233,8.449,12.646,32.939
01:21:30,0.149,0.164,0.184,4.238,8.427,12.652,32.661
01:21:31,0.148,0.163,0.186,4.237,8.409,12.625,32.593
01:21:32,0.148,0.180,0.203,4.237,8.440,12.625,32.620
01:21:33,0.148,0.162,0.186,4.238,8.431,12.639,32.579
01:21:34,0.148,0.149,0.222,4.235,8.449,12.646,32.633
01:21:35,0.147,0.161,0.182,4.237,8.458,12.652,32.552
01:21:36,0.148,0.159,0.199,4.232,8.431,12.611,32.640
01:21:37,0.147,0.159,0.189,4.231,8.436,12.639,32.593
01:21:38,0.147,0.158,0.190,4.233,8.449,12.639,32.674
01:21:39,0.148,0.160,0.182,4.237,8.436,12.652,32.613
01:21:40,0.148,0.162,0.182,4.238,8.449,12.646,32.613
01:21:41,0.147,0.162,0.182,4.237,8.445,12.576,32.579
01:21:42,0.147,0.166,0.191,4.238,8.449,12.625,32.579
01:21:43,0.148,0.160,0.185,4.236,8.440,12.652,32.613
01:21:44,0.147,0.159,0.101,4.235,8.440,12.632,32.735
01:21:45,0.147,0.162,0.181,4.236,8.449,12.646,32.640
01:21:46,0.147,0.162,0.190,4.232,8.431,12.618,32.613
01:21:47,0.146,0.162,0.186,4.232,8.440,12.639,32.627
01:21:48,0.146,0.159,0.193,4.233,8.440,12.639,32.695
01:21:49,0.147,0.160,0.191,4.229,8.440,12.639,32.640
01:21:50,0.147,0.160,0.191,4.230,8.476,12.646,32.681
01:21:51,0.147,0.161,0.184,4.238,8.436,12.625,32.606
01:21:52,0.147,0.162,0.188,4.213,8.449,12.652,32.722
01:21:53,0.146,0.158,0.199,4.233,8.449,12.618,32.627
01:21:54,0.146,0.160,0.191,4.232,8.311,12.639,32.627
01:21:55,0.146,0.160,0.182,4.238,8.449,12.646,32.518
01:21:56,0.147,0.161,0.181,4.237,8.445,12.597,32.695
01:21:57,0.147,0.159,0.191,4.230,8.440,12.639,33.069
01:21:58,0.145,0.162,0.186,4.235,8.449,12.646,32.722
01:21:59,0.146,0.159,0.180,4.237,8.445,12.652,32.681
01:22:00,0.145,0.159,0.283,4.235,8.440,12.646,32.579
01:22:01,0.145,0.158,0.191,4.235,8.440,12.639,32.681
01:22:02,0.145,0.157,0.208,4.233,8.449,12.646,32.681
01:22:03,0.145,0.159,0.179,4.235,8.449,12.646,32.620
01:22:04,0.145,0.159,0.183,4.233,8.449,12.646,32.667
01:22:05,0.145,0.156,0.173,4.230,8.440,12.639,32.667
01:22:06,0.145,0.120,0.199,4.233,8.431,12.625,32.763
01:22:07,0.145,0.160,0.223,4.230,8.449,12.639,32.613
01:22:08,0.146,0.158,0.191,4.231,8.449,12.639,32.572
01:22:09,0.146,0.159,0.183,4.233,8.449,12.659,32.695
01:22:10,0.145,0.156,0.148,4.237,8.436,12.652,32.654
01:22:11,0.145,0.159,0.182,4.235,8.449,12.646,32.579
01:22:12,0.145,0.159,0.181,4.238,8.449,12.424,32.450
01:22:13,0.146,0.159,0.176,4.233,8.449,12.646,32.572
01:22:14,0.145,0.158,0.196,4.237,8.440,12.646,32.579
01:22:15,0.145,0.155,0.191,4.232,8.436,12.625,32.586
01:22:16,0.145,0.159,0.181,4.238,8.565,12.639,32.633
01:22:17,0.144,0.156,0.186,4.243,8.449,12.639,32.552
01:22:18,0.144,0.159,0.191,4.236,8.449,12.646,32.606
01:22:19,0.145,0.156,0.188,4.230,8.449,12.646,32.586
01:22:20,0.145,0.159,0.184,4.241,8.436,12.625,32.640
01:22:21,0.145,0.157,0.193,4.232,8.431,12.632,32.613
01:22:22,0.142,0.157,0.173,4.237,8.445,12.646,32.681
01:22:23,0.144,0.159,0.199,4.231,8.431,12.618,32.545
